tick,time_sec,spike_count_total,epg_spike_count,driver_spike_count,stim_afferent_spike_count,spike_ids
102,0.102000,24,0,0,1,720575940606039241|720575940611516586|720575940613635737|720575940614187006|720575940617500443|720575940620537153|720575940622416628|720575940623358099|720575940623673821|720575940624816115|720575940626111619|720575940626662277|720575940628137713|720575940629041879|720575940629225463|720575940630098284|720575940632440220|720575940633308371|720575940633631396|720575940635776760|720575940636411534|720575940638720233|720575940639124029|720575940639179891
103,0.103000,15,0,0,2,720575940605607392|720575940606756030|720575940613193642|720575940619922512|720575940621116807|720575940621367572|720575940623302988|720575940623772564|720575940626500745|720575940626768442|720575940628346634|720575940629468716|720575940629821740|720575940632380216|720575940647253795
104,0.104000,16,0,0,0,720575940604009952|720575940609284728|720575940611428977|720575940611563310|720575940613915823|720575940616861697|720575940617054237|720575940617672920|720575940619676224|720575940620096238|720575940624130253|720575940624394790|720575940627924227|720575940628197392|720575940628834151|720575940637210334
105,0.105000,16,0,0,1,720575940606421122|720575940609341809|720575940609343089|720575940613981905|720575940618089541|720575940620061793|720575940620065694|720575940622303446|720575940625436170|720575940628796780|720575940629229020|720575940632042148|720575940635932590|720575940636360811|720575940639417432|720575940643576224
106,0.106000,22,0,0,2,720575940604737708|720575940610941906|720575940612358642|720575940614979634|720575940618355870|720575940618886449|720575940619548799|720575940622219190|720575940623158601|720575940623618708|720575940623758377|720575940623889421|720575940625053186|720575940626142077|720575940627493148|720575940628522540|720575940629975516|720575940631714119|720575940632777320|720575940637308605|720575940640436814|720575940650813686
107,0.107000,17,0,0,4,720575940609713710|720575940612359343|720575940613891442|720575940619701231|720575940620481240|720575940621716835|720575940622416628|720575940623096870|720575940623122125|720575940625691372|720575940625935544|720575940627293370|720575940628644239|720575940631043139|720575940631319084|720575940632875746|720575940635771316
108,0.108000,16,0,0,1,720575940611811704|720575940615018463|720575940615410107|720575940619155995|720575940621638534|720575940621814911|720575940623153788|720575940625563623|720575940627053861|720575940628805448|720575940629192523|720575940631844300|720575940634260636|720575940645834275|720575940646183220|720575940647081860
109,0.109000,18,0,0,0,720575940606573490|720575940608188427|720575940612921746|720575940613636325|720575940614461014|720575940615084339|720575940621393172|720575940622368844|720575940622517956|720575940623553260|720575940626039996|720575940627620593|720575940629702905|720575940630668538|720575940631189817|720575940640039040|720575940640788725|720575940640851363
110,0.110000,26,0,0,1,720575940608140380|720575940613473959|720575940615526978|720575940618936710|720575940620943969|720575940621024545|720575940621174337|720575940622037926|720575940622945037|720575940623302988|720575940623444044|720575940625561406|720575940626363529|720575940627706398|720575940627820806|720575940629426025|720575940629630679|720575940631309866|720575940632809683|720575940635540671|720575940635970190|720575940637586751|720575940639092201|720575940639209956|720575940643112333|720575940644791918
111,0.111000,24,0,0,4,720575940612358642|720575940612682467|720575940614570415|720575940616167730|720575940616575557|720575940618156829|720575940619549598|720575940620123631|720575940620124143|720575940620179553|720575940621519130|720575940622303446|720575940623758377|720575940624986919|720575940626555440|720575940626768442|720575940627044885|720575940627514567|720575940627849515|720575940629437545|720575940633705636|720575940638403928|720575940640325429|720575940655842465
112,0.112000,18,0,1,1,720575940609713710|720575940610822513|720575940612868757|720575940612943539|720575940613303471|720575940616936226|720575940617110028|720575940617672226|720575940626162890|720575940627351543|720575940628016387|720575940629560770|720575940630006636|720575940633518176|720575940633631396|720575940634139799|720575940636360811|720575940640205501
113,0.113000,14,0,0,4,720575940604735660|720575940614412906|720575940622416628|720575940622712772|720575940624850434|720575940625952755|720575940627497244|720575940628375306|720575940628644239|720575940631625979|720575940631844300|720575940632875746|720575940634257890|720575940644390436
114,0.114000,22,0,0,0,720575940607982428|720575940611332325|720575940611563310|720575940614428319|720575940616581535|720575940616823862|720575940617054237|720575940617671896|720575940618510552|720575940618649936|720575940619637185|720575940619792916|720575940623862989|720575940626044942|720575940628494695|720575940629229020|720575940629459718|720575940630931999|720575940632539788|720575940633116256|720575940640486488|720575940640652752
115,0.115000,27,0,0,1,720575940609979285|720575940611206514|720575940612143075|720575940615160239|720575940616603793|720575940617013554|720575940620983902|720575940623302988|720575940623358099|720575940624130253|720575940624163303|720575940625345511|720575940627826760|720575940628238217|720575940628694019|720575940630372982|720575940631207388|720575940631520312|720575940631542732|720575940633800860|720575940635477902|720575940636411534|720575940637071849|720575940639432782|720575940643467886|720575940644751652|720575940648606340
